CODE_UIC;LIBELLE_GARE;FRET;VOYAGEURS;CODE_LIGNE;RANG;PK;COMMUNE;DEPARTEMENT;IDRESEAU;IDGAIA;X (lambert93);Y (lambert93);X (WGS84);Y (WGS84);coordonnees_geographiques
87485631;Fontaines-Vendée;N;N;528000;1;35+015;Fontaines;Vendée;30000004189;e551ae70-6667-11e3-a7ff-01f464e0362d;;;;;
87485664;St-Laurs;N;N;523000;1;133+643;St-Laurs;Deux-Sèvres;30000081152;e5520a94-6667-11e3-a7ff-01f464e0362d;;;;;
87481069;La Basse-Indre-St-Herblain;O;O;515000;1;440+291;St-Herblain;Loire-Atlantique;30000003101;d9d892b2-6667-11e3-89ff-01f464e0362d;347428.3726999983;6688617.641600002;-1.660234706510865;47.20418674117419;47.2041867411, -1.66023470651
87481242;Bourgneuf-en-Retz;N;O;536000;1;14+532;Bourgneuf-en-Retz;Loire-Atlantique;30000003342;d9b334bc-6667-11e3-89ff-01f464e0362d;324054.0749000013;6672548.640799999;-1.9550939845806181;47.04698051501943;47.046980515, -1.95509398458
87481176;Boussay-La Bruffière;N;O;527000;1;9+712;Boussay;Loire-Atlantique;30000003350;d9904386-6667-11e3-89ff-01f464e0362d;382609.64130000025;6669557.166499998;-1.1828015969908297;47.05058005563971;47.0505800556, -1.18280159699
87478768;St-Pierre-la-Cour;O;O;420000;1;321+492;St-Pierre-la-Cour;Mayenne;30000006642;e192f450-19bf-11e5-a6ff-01fc64e0362d;400568.1050999984;6786881.365400001;-1.0252991505882505;48.11359965015547;48.1135996501, -1.02529915059
87481135;Ste-Luce;N;N;515000;1;423+637;Ste-Luce-sur-Loire;Loire-Atlantique;30000006717;d9b43f8e-6667-11e3-89ff-01f464e0362d;362231.5870999992;6692712.6851;-1.4680539477894616;47.24869032423348;47.2486903242, -1.46805394779
87481036;Rezé-Pont-Rousseau;O;O;534000;1;1+755;Rezé;Loire-Atlantique;30000006244;d9b7dde2-6667-11e3-89ff-01f464e0362d;355727.81440000236;6686925.624400001;-1.5494924828879282;47.19333466964187;47.1933346696, -1.54949248289
87481291;Torfou-Tiffauges;N;N;527000;1;17+012;Torfou;Maine-et-Loire;30000008951;e54d34c4-6667-11e3-a7ff-01f464e0362d;389265.8242999986;6667231.987399999;-1.0936531972248982;47.03281379179327;47.0328137918, -1.09365319722
87481051;Chantenay;O;O;515000;1;435+123;Nantes;Loire-Atlantique;30000003610;d9937efa-6667-11e3-89ff-01f464e0362d;352317.9827999994;6687531.820700001;-1.594917252652802;47.1970064456963;47.1970064457, -1.59491725265
87481002;Nantes;O;O;519000;1;428+284;Nantes;Loire-Atlantique;30000005736;c01d1406-f312-11e3-90ff-015864e0362d;358259.4680000022;6690441.043499999;-1.518765979566461;47.22623886809133;47.2262388681, -1.51876597957
87478677;Ernée;N;N;438000;1;29+657;Ernée;Mayenne;30000004069;e5445f00-6667-11e3-a7ff-01f464e0362d;;;;;
87481564;La Chapelle-sur-Erdre;O;O;519000;1;439+349;La Chapelle-sur-Erdre;Loire-Atlantique;30000004625;a2fe23e4-9248-11e3-a2ff-010c64e0362d;356508.0358000025;6698504.863299999;-1.548008411184202;47.29780936176806;47.2978093617, -1.54800841118
87481317;La Feuillardais-Vue;N;N;537000;1;9+716;Arthon-en-Retz;Loire-Atlantique;30000081121;e547edcc-6667-11e3-a7ff-01f464e0362d;325999.31400000304;6686137.873500001;-1.9407144095799014;47.170181748986295;47.170181749, -1.94071440958
87481697;La Baule-les-Pins;N;O;516000;1;508+304;La Baule-Escoublac;Loire-Atlantique;30000004590;c0a11064-f312-11e3-90ff-015864e0362d;294798.8546999991;6700813.747099999;-2.3648225128958376;47.28370632606419;47.283706326, -2.3648225129
87481333;St-Père-en-Retz;N;N;537000;1;18+459;St-Père-en-Retz;Loire-Atlantique;30000006628;e54bb5e2-6667-11e3-a7ff-01f464e0362d;319874.9776000008;6690786.913400002;-2.025306579549466;47.20847567291412;47.2084756729, -2.02530657955
87481606;Saffré;N;N;519000;1;463+992;Joué-sur-Erdre;Loire-Atlantique;30000008955;e54d7764-6667-11e3-a7ff-01f464e0362d;361163.22869999707;6721781.006999999;-1.5040655291605787;47.50939760366906;47.5093976036, -1.50406552916
